Item,Qty,Reference(s),Value,Footprint,MPN
1,2,"C1, C3",10uF_6.3V,f:0805,JMK212ABJ106MG-T
2,2,"C2, C5",0.1uF_6.3V,f:0603,06036D104KAT2A
3,1,C4,1000pF_1kV,f:0603,C0603V102KDRACTU
4,1,D1,LED,f:LED_0603,
5,1,D2,SP0503BAHT,f:SOT-143-4,SP0503BAHT
6,1,D3,RED,f:LED_0603,
7,1,D4,GREEN,f:LED_0603,
8,3,"Fid1, Fid2, Fid3",1.0mm_Mask_2.0mm,f:Fiducial_1mm_Mask2mm,
9,1,IC1,CP2102-GM,f:QFN-28,CP2102-GM
10,1,J1,61200621721,f:61200621721,61200621721
11,2,"JP1, JP2",SolderJumper_3_Open,f:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,
12,3,"R1, R2, R3",330R,f:0603,AC0603FR-10330RL
13,1,R4,1M,f:0603,RN73R1JTTD1004F50
14,1,SW1,SS-3390S-L1,f:SS-33905-1,SS-3390S-L1
15,1,USB1,48037-0001,f:USB_48037-0001,48037-0001
